答卷编号,IP地址,来源,昵称(微信),性别(微信),城市(微信),分值,开始时间,结束时间,浏览器,操作系统,状态
1,175.167.154.149,,,,,2.0,2019-05-28 19:02:20,2019-05-28 19:02:40,Unknown Browser,iPhone iOS 12.0,正常完成
2,175.167.138.251,,,,,1.0,2019-05-28 19:01:14,2019-05-28 19:02:50,Chrome 66.0.3359.126,Android Linux 9,正常完成
3,223.104.176.214,,,,,5.0,2019-05-28 19:01:08,2019-05-28 19:02:58,Chrome 66.0.3359.126,Android Linux 9,正常完成
4,42.248.58.167,,,,,6.0,2019-05-28 19:01:24,2019-05-28 19:03:05,Chrome 66.0.3359.126,Android Linux 6.0.1,正常完成
5,113.127.215.136,,,,,3.0,2019-05-28 19:00:56,2019-05-28 19:03:08,Unknown Browser,iPhone iOS 12.1.4,正常完成
6,175.167.130.140,,,,,7.0,2019-05-28 19:04:25,2019-05-28 19:07:11,Chrome 66.0.3359.126,Android Linux 7.1.1,正常完成
7,59.46.193.39,,,,,7.0,2019-05-28 19:05:53,2019-05-28 19:08:02,Chrome 66.0.3359.126,Android Linux 7.1.1,正常完成
8,59.46.193.39,,,,,5.0,2019-05-28 19:06:05,2019-05-28 19:08:16,Unknown Browser,iPhone iOS 12.1.4,正常完成
9,42.248.41.113,,,,,7.0,2019-05-28 19:06:26,2019-05-28 19:08:39,Chrome 66.0.3359.126,Android Linux 9,正常完成
10,175.167.146.127,,,,,4.0,2019-05-28 19:06:55,2019-05-28 19:08:58,Unknown Browser,iPhone iOS 12.2,正常完成
11,223.104.177.123,,,,,6.0,2019-05-28 19:07:14,2019-05-28 19:09:41,Unknown Browser,iPhone iOS 12.2,正常完成
12,59.46.193.39,,,,,4.0,2019-05-28 19:07:24,2019-05-28 19:09:49,Unknown Browser,iPhone iOS 12.1.2,正常完成
13,175.167.154.35,,,,,4.0,2019-05-28 19:07:39,2019-05-28 19:10:04,Unknown Browser,iPhone iOS 12.0,正常完成
14,182.204.174.254,,,,,4.0,2019-05-28 19:07:47,2019-05-28 19:10:16,Unknown Browser,iPhone iOS 12.2,正常完成
15,59.46.193.39,,,,,3.0,2019-05-28 19:07:59,2019-05-28 19:10:29,Chrome 66.0.3359.126,Android Linux 8.1.0,正常完成
16,59.46.193.39,,,,,6.0,2019-05-28 19:08:36,2019-05-28 19:12:20,Unknown Browser,IPad iOS 12.2,正常完成
17,182.204.162.220,,,,,6.0,2019-05-28 21:21:05,2019-05-28 21:23:21,Unknown Browser,iPhone iOS 12.1.4,正常完成
